CRN,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,FATAL_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LOCATION_TYPE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POSSIBLE_INJ_COUNT,RELATION_TO_ROAD,ROAD_CONDITION,SECONDARY_CRASH,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,WEATHER1,WORK_ZONE_IND,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,BACKUP_NONRECURRING,BACKUP_CONGESTION,BICYCLE,CROSS_MEDIAN,CURVE_DVR_ERROR,CURVED_ROAD,DEER_RELATED,DISTRACTED,DRINKING_DRIVER,DRIVER_16YR,DRIVER_17YR,DRIVER_18YR,DRIVER_19YR,DRIVER_20YR,DRIVER_50_64YR,DRIVER_65_74YR,DRIVER_75PLUS,DRUG_RELATED,DRUGGED_DRIVER,ICY_ROAD,ILLUMINATION_DARK,INTERSECTION,INTERSTATE,LANE_DEPARTURE,LEFT_TURN,LIMIT_65MPH,LIMIT_70MPH,MARIJUANA_RELATED,RAMP,RAMP_SEGMENT,REAR_END,ROUNDABOUT,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING,SPEEDING_RELATED,UNBELTED,UNDERAGE_DRNK_DRV,VULNERABLE_ROAD_USER_FATAL,WET_ROAD,WORK_ZONE,YOUNG_DRIVER,SPEED_LIMIT,STREET_NAME
2022049249,0,0,2,5,2022,5,40.4641,-79.9642,0,16.0,1,0,2,1,0,0,0,0,0,2301,0,0,0,0,0,0,1,0,4,1,N,0,0,0,2,0,0,0,0,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,LIGONIER ST
2022049731,0,0,2,5,2022,5,40.6219,-79.9821,0,2.0,2,0,0,0,0,0,0,0,0,2217,0,0,0,0,0,0,1,0,1,1,N,0,0,0,1,0,0,0,0,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,MAINLINE TU
2022046972,0,1,2,5,2022,1,40.5447,-80.0397,0,3.0,3,1,0,0,0,2,0,0,0,2116,0,0,0,0,0,0,1,0,5,1,N,0,1,1,1,0,0,0,0,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,SEWICKLEY OAKMONT RD
2022050035,0,0,2,5,2022,2,40.4938,-79.7817,0,0.0,3,1,0,2,0,4,0,0,0,2466,0,0,0,0,0,0,1,1,1,1,N,0,0,1,3,0,0,0,0,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,SIPLE ST
2022047793,0,0,2,5,2022,7,40.2255,-79.8528,0,15.0,1,1,0,1,0,3,0,0,0,2105,0,0,0,0,0,0,2,0,1,1,N,1,0,1,1,0,0,0,0,0,3,3,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,HAYDEN BL
2022049364,0,0,2,5,2022,5,40.4719,-80.0303,0,21.0,2,1,1,0,0,8,0,0,0,2301,0,0,0,0,0,0,2,0,1,9,N,0,0,1,2,0,0,1,1,0,3,4,7,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,FREDERICK ST
2022048070,0,0,2,5,2022,3,40.4592,-79.9076,0,13.0,1,1,0,0,0,8,0,0,0,2301,0,0,0,0,0,0,2,0,1,1,N,0,0,1,2,0,0,0,1,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,WASHINGTON BL
2022049797,0,0,2,3,2022,3,40.4637,-79.9238,0,15.0,1,1,1,0,0,3,0,0,0,2301,0,0,0,0,0,0,2,0,1,1,N,1,0,1,2,0,0,0,0,0,3,4,3,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,N HIGHLAND AV
2022050177,0,0,2,5,2022,2,40.4669,-80.025,0,18.0,1,0,1,1,0,0,0,0,0,2301,0,0,0,0,0,0,1,0,5,1,N,0,0,0,1,0,0,0,0,0,3,4,3,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,MARSHALL AV
2022047643,0,0,2,5,2022,7,40.454,-79.9124,0,22.0,3,2,1,0,0,3,0,0,0,2301,0,0,0,0,0,0,2,0,1,1,N,2,0,2,2,0,0,0,0,0,3,4,3,N,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,FIFTH AV
